Search results of TreeSize Professional


Custom Search

"Name","Path","Size","Last Change","Last Access","File Type","Owner","Attributes",
pilot_RewAtt.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\Dc401\",7.7 KB,11/3/2009,11/16/2009,".exp (Presentation Experiment)","rkrebs","A",
FRCue01C_EEG.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7736\Dc3\",6.3 KB,9/17/2009,9/29/2009,".exp (Presentation Experiment)","jgreen","A",
FastNumHab3.exp,"C:\Tasks\FastNumHab3\old\",5.2 KB,5/27/2008,5/28/2008,".exp (Presentation Experiment)","libertus","A",
._ldap1.exp,"C:\Tasks\Jess\FRCUE-jess\",4.0 KB,9/11/2009,9/29/2009,".exp (Presentation Experiment)","jgreen","HA",
frcue-j3c.exp,"C:\Tasks\Jess\FRCUE-jess\",5.8 KB,10/21/2009,10/21/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j1b.exp,"C:\Tasks\Jess\j1b\",5.5 KB,11/4/2009,11/4/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j3c.exp,"C:\Tasks\Jess\j3c\",5.8 KB,10/28/2009,10/28/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j3d.exp,"C:\Tasks\Jess\j3d\",5.9 KB,11/11/2009,11/11/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j3e.exp,"C:\Tasks\Jess\j3e\",5.9 KB,11/24/2009,12/3/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j3f.exp,"C:\Tasks\Jess\j3f\",5.8 KB,1/21/2010,8/6/2010,".exp (Presentation Experiment)","jgreen","A",
frcue-j3g.exp,"C:\Tasks\Jess\j3g\",5.5 KB,1/25/2010,2/8/2010,".exp (Presentation Experiment)","jgreen","A",
frcue-j3h.exp,"C:\Tasks\Jess\j3h\",5.8 KB,2/8/2010,6/8/2010,".exp (Presentation Experiment)","jgreen","A",
frcue-j4.exp,"C:\Tasks\Jess\j4\",5.9 KB,9/20/2010,12/6/2010,".exp (Presentation Experiment)","jgreen","A",
kait_ColorPopout.exp,"C:\Tasks\Kait Experiment\Scenario_Files\",11.9 KB,9/28/2009,9/28/2009,".exp (Presentation Experiment)","kclark","A",
AttPos.exp,"C:\Tasks\Ruth\AttPos_EEG\",8.4 KB,1/18/2010,1/18/2010,".exp (Presentation Experiment)","rkrebs","A",
CovOv_single_vs_dual.exp,"C:\Tasks\Ruth\covov_single_vs_dual\",10.6 KB,11/8/2009,11/15/2010,".exp (Presentation Experiment)","rkrebs","A",
recap.exp,"C:\Tasks\Ruth\ReCap_exp\",7.9 KB,11/17/2010,11/17/2010,".exp (Presentation Experiment)","rkrebs","A",
fMRIpossibility.exp,"C:\Tasks\Robin\ForfMRiPossible\",9.9 KB,3/3/2010,3/17/2010,".exp (Presentation Experiment)","zimulr","A",
StRew_multi.exp,"C:\Tasks\Ruth\StRew_multi\",8.8 KB,1/23/2010,6/11/2010,".exp (Presentation Experiment)","rkrebs","A",
CrossModalStroop_BR.exp,"C:\Tasks\Sarah\ColorButtonsReversed\",8.5 KB,7/3/2010,8/7/2010,".exp (Presentation Experiment)","cpark","A",
BabyTresholdTest.exp,"C:\Tasks\Sarah\Staircase\",1.2 KB,11/7/2001,12/10/2010,".exp (Presentation Experiment)","sdonohue","A",
Hearing_Threshold.exp,"C:\Tasks\Sarah\Staircase\",5.8 KB,12/10/2010,12/10/2010,".exp (Presentation Experiment)","sdonohue","A",
Class08_team1.exp,"C:\Tasks\VG_Training\Older Files\",6.9 KB,3/11/2009,4/17/2009,".exp (Presentation Experiment)","greg","A",
Class08_team2.exp,"C:\Tasks\VG_Training\Older Files\",6.0 KB,3/19/2008,4/17/2009,".exp (Presentation Experiment)","greg","A",
Class08_team3.exp,"C:\Tasks\VG_Training\Older Files\",6.0 KB,3/19/2008,4/17/2009,".exp (Presentation Experiment)","greg","A",
Class08_team4.exp,"C:\Tasks\VG_Training\Older Files\",6.0 KB,3/19/2008,4/17/2009,".exp (Presentation Experiment)","greg","A",
kait_VG_Training.exp,"C:\Tasks\VG_Training\Older Files\",11.6 KB,4/10/2009,4/17/2009,".exp (Presentation Experiment)","greg","A",
AB.exp,"C:\Documents and Settings\amcmahon\Desktop\AAB\",7.2 KB,8/19/2009,8/19/2009,".exp (Presentation Experiment)","amcmahon","A",
JoeFHC2.exp,"C:\Documents and Settings\amcmahon\Desktop\AAB\",3.7 KB,10/27/2006,8/19/2009,".exp (Presentation Experiment)","amcmahon","A",
PopoutTraining.exp,"C:\Documents and Settings\kclark\Desktop\Clark_PopoutTraining\",18.7 KB,12/6/2010,12/6/2010,".exp (Presentation Experiment)","kclark","A",
Conjunction.exp,"C:\Documents and Settings\mgamble\Desktop\Stimulus_Presentation_stimComputer\",7.0 KB,9/11/2009,9/11/2009,".exp (Presentation Experiment)","mgamble","A",
Popout.exp,"C:\Documents and Settings\mgamble\Desktop\Stimulus_Presentation_stimComputer\",7.0 KB,9/11/2009,9/11/2009,".exp (Presentation Experiment)","mgamble","A",
P3demo.exp,"C:\Documents and Settings\nboehler\Desktop\P3demo\",6.3 KB,1/15/2010,1/15/2010,".exp (Presentation Experiment)","nboehler","A",
BabyTresholdTest.exp,"C:\experiments\donohue\AVONS2\Staircase\",1.2 KB,11/7/2001,11/2/2008,".exp (Presentation Experiment)","S-1-5-21-811692012-638789158-311576647-7597","A",
Hearing_Threshold.exp,"C:\experiments\donohue\AVONS2\Staircase\",5.6 KB,11/7/2008,11/30/2010,".exp (Presentation Experiment)","S-1-5-21-811692012-638789158-311576647-7597","A",
TOJExperiment.exp,"C:\experiments\donohue\OldWork\TOJ_ken\",5.6 KB,4/8/2008,4/8/2008,".exp (Presentation Experiment)","kroberts","A",
AVONS.exp,"C:\experiments\donohue\OldWork\AVONS\",5.7 KB,1/28/2008,9/8/2008,".exp (Presentation Experiment)","kroberts.admin","A",
TOJExperiment.exp,"C:\experiments\donohue\TOJ_Experiment\Logfiles\",3.6 KB,3/5/2008,4/30/2008,".exp (Presentation Experiment)","sdonohue","A",
BabyTresholdTest.exp,"C:\experiments\donohue\TOJ_Experiment\Staircase\",1.2 KB,11/7/2001,10/8/2008,".exp (Presentation Experiment)","sdonohue","A",
Hearing_Threshold.exp,"C:\experiments\donohue\TOJ_Experiment\Staircase\",5.7 KB,9/25/2008,11/12/2008,".exp (Presentation Experiment)","sdonohue","A",
vistimetest.exp,"C:\MATLAB6p5p1\work\Presentation\timetest\",2.5 KB,6/19/2007,6/19/2007,".exp (Presentation Experiment)","sdonohue","A",
demo040.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Demo\",3.8 KB,11/1/2002,6/15/2007,".exp (Presentation Experiment)","Administrators","A",
old_demo.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Demo\",4.0 KB,1/24/2003,5/29/2008,".exp (Presentation Experiment)","Administrators","A",
YB_reward_base.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\Dc568\1_Reward_base\",6.0 KB,6/22/2010,6/23/2010,".exp (Presentation Experiment)","rkrebs","A",
YB_stroop_rew.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\Dc568\2_Stroop_reward\",8.8 KB,6/22/2010,6/23/2010,".exp (Presentation Experiment)","rkrebs","A",
frcue-j2a.exp,"C:\Tasks\Jess\FRCUE-jess\old\",5.6 KB,10/1/2009,10/1/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j2c.exp,"C:\Tasks\Jess\FRCUE-jess\old\",5.5 KB,9/29/2009,10/1/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-jess.exp,"C:\Tasks\Jess\FRCUE-jess\old\",5.5 KB,9/18/2009,9/29/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-practice.exp,"C:\Tasks\Jess\FRCUE-jess\old\",5.6 KB,9/18/2009,9/29/2009,".exp (Presentation Experiment)","jgreen","A",
frcue-j4.exp,"C:\Tasks\Jess\j4\old\",5.9 KB,3/1/2010,3/4/2010,".exp (Presentation Experiment)","jgreen","A",
recap.exp,"C:\Tasks\Ruth\ReCap_exp\old_version\",8.5 KB,11/15/2010,11/16/2010,".exp (Presentation Experiment)","rkrebs","A",
SaccAtt_EEG.exp,"C:\Tasks\Ruth\SaccAtt_EEG\saccatt_EEG\",7.8 KB,9/14/2009,11/2/2009,".exp (Presentation Experiment)","rkrebs","A",
GR_StRew_EEG.exp,"C:\Tasks\Ruth\StRew_EEG\4_GR_EEG\",8.9 KB,7/21/2010,11/11/2010,".exp (Presentation Experiment)","rkrebs","A",
YB_StRew_EEG.exp,"C:\Tasks\Ruth\StRew_EEG\6_YB_EEG\",8.9 KB,7/19/2010,7/20/2010,".exp (Presentation Experiment)","rkrebs","A",
BG_StRew_EEG.exp,"C:\Tasks\Ruth\StRew_EEG\BG_EEG\",8.9 KB,6/12/2010,6/12/2010,".exp (Presentation Experiment)","rkrebs","A",
RB_StRew_EEG.exp,"C:\Tasks\Ruth\StRew_EEG\RB_EEG\",8.8 KB,3/15/2010,3/15/2010,".exp (Presentation Experiment)","rkrebs","A",
RY_StRew_EEG.exp,"C:\Tasks\Ruth\StRew_EEG\RY_EEG\",8.9 KB,4/8/2010,4/12/2010,".exp (Presentation Experiment)","rkrebs","A",
BG_StRew_multi.exp,"C:\Tasks\Ruth\StRew_multi\BG_strew\",8.9 KB,1/25/2010,1/25/2010,".exp (Presentation Experiment)","rkrebs","A",
RB_StRew_multi.exp,"C:\Tasks\Ruth\StRew_multi\RB_strew\",8.9 KB,1/16/2010,1/16/2010,".exp (Presentation Experiment)","rkrebs","A",
Stroop_multi.exp,"C:\Tasks\Ruth\StRew_multi\Stroop_multi\",9.1 KB,12/15/2009,12/15/2009,".exp (Presentation Experiment)","rkrebs","A",
YG_StRew_multi.exp,"C:\Tasks\Ruth\StRew_multi\YG_strew\",8.9 KB,1/15/2010,1/15/2010,".exp (Presentation Experiment)","rkrebs","A",
CrossModalStroop.exp,"C:\Tasks\Sarah\CrossModalStroopEEG\NewOctober2010\",36.8 KB,12/10/2010,12/10/2010,".exp (Presentation Experiment)","sdonohue","A",
CrossModalStroop.exp,"C:\Tasks\Sarah\CrossModalStroopEEG\OldNoVisAudAlone\",27.8 KB,9/1/2010,10/18/2010,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouse.exp,"C:\Tasks\Sarah\FaceHouseClass\currentsg\",6.9 KB,3/2/2009,4/9/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses02.exp,"C:\Tasks\Sarah\FaceHouseClass\s02\",16.2 KB,3/11/2009,3/11/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses04.exp,"C:\Tasks\Sarah\FaceHouseClass\s04\",13.1 KB,3/11/2009,3/17/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses06.exp,"C:\Tasks\Sarah\FaceHouseClass\s06\",14.1 KB,3/11/2009,3/20/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses08.exp,"C:\Tasks\Sarah\FaceHouseClass\s08\",15.2 KB,3/11/2009,4/1/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses10.exp,"C:\Tasks\Sarah\FaceHouseClass\s10\",16.2 KB,3/11/2009,4/2/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses12.exp,"C:\Tasks\Sarah\FaceHouseClass\s12\",17.2 KB,4/9/2009,4/9/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses14.exp,"C:\Tasks\Sarah\FaceHouseClass\s14\",18.2 KB,4/9/2009,8/31/2009,".exp (Presentation Experiment)","sdonohue","A",
AVFaceHouses15.exp,"C:\Tasks\Sarah\FaceHouseClass\s15\",18.2 KB,4/9/2009,4/10/2009,".exp (Presentation Experiment)","sdonohue","A",
BatteryTOJ.exp,"C:\Tasks\Sarah\SimfMRI2\InitialPart\",6.5 KB,12/15/2010,12/15/2010,".exp (Presentation Experiment)","sdonohue","A",
Class08.exp,"C:\Tasks\VG_Training\Older Files\Class08-fromZIP\",5.5 KB,3/18/2008,4/17/2009,".exp (Presentation Experiment)","greg","A",
ME_ATT_EEG.exp,"C:\Documents and Settings\lchen\Desktop\ME_Att_EEG\scenarios\",7.2 KB,7/19/2010,7/19/2010,".exp (Presentation Experiment)","lchen","A",
NBS Demo.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\demo\",5.3 KB,4/5/2007,9/3/2008,".exp (Presentation Experiment)","Administrators","A",
Example Experiment 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",15.9 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Eye Tracker Examples.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",5.1 KB,9/24/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
hello.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",3.3 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Input Ports Examples 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.2 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Mouse Selection.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",5.0 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Output Ports Examples 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.4 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Parallel Port Examples 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",5.4 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Parallel Port Examples 2.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.2 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Picture Stimulus Timing.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.7 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Response Active Stimuli.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",6.2 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
SDL-PCL Basics.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.0 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Simple Experiment 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",10.8 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Simple Experiment 2.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.2 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Simple Experiment 3.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",4.7 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Simple Experiment.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",7.2 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
sound_capture_timing.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",2.9 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Stereo Sound Examples.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",3.7 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
Trials and Templates.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",5.5 KB,4/4/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
VSG Examples.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version113120307\examples\",5.9 KB,8/13/2007,1/28/2008,".exp (Presentation Experiment)","Administrators","A",
NBS Demo.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\demo\",5.3 KB,4/5/2007,11/5/2010,".exp (Presentation Experiment)","Administrators","A",
Drawing Graphics.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",7.9 KB,1/23/2008,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
Example Experiment 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",15.9 KB,4/4/2007,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
Eye Tracker Examples.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",5.1 KB,9/24/2007,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
hello.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",3.3 KB,4/4/2007,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
Input Ports Examples 1.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",4.2 KB,4/4/2007,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
Mouse Selection.exp,"C:\Program Files\Neurobehavioral Systems\Presentation\Version122081208\examples\",5.0 KB,4/4/2007,9/30/2008,".exp (Presentation Experiment)","Administrators","A",
